Title and Day Published,Title,Publish Date,Publish Time (EST),Days Since Published,Views,Views per Day,Likes,Like to View Ratio,Comments,Comment to View Ratio,Duration in Seconds,Duration in Minutes
I Survived 50 Hours In Antarctica - (2022-12-24),I Survived 50 Hours In Antarctica,2022-12-24,2022-12-24 15:59:59,24,79408982,3308707.6,3533170,0.04449332948255148,133983,0.0016872524571590654,730,12.167
Hydraulic Press Vs Lamborghini - (2022-12-10),Hydraulic Press Vs Lamborghini,2022-12-10,2022-12-10 16:00:01,38,94497580,2486778.4,4089840,0.043279838488985645,121292,0.0012835460971593136,625,10.417
Would You Fly To Paris For A Baguette? - (2022-12-08),Would You Fly To Paris For A Baguette?,2022-12-08,2022-12-08 15:12:27,40,457205770,11430144.2,25690316,0.056189833299785344,54637,0.00011950199141187567,48,0.8
"100 Kids Vs 100 Adults For $500,000 - (2022-12-03)","100 Kids Vs 100 Adults For $500,000",2022-12-03,2022-12-03 16:00:00,45,99263866,2205863.7,3018711,0.03041097553061252,90445,0.0009111573389656212,923,15.383
Gordon Ramsay Tries Most Expensive Chocolate Bar! - (2022-11-19),Gordon Ramsay Tries Most Expensive Chocolate Bar!,2022-11-19,2022-11-19 15:59:59,59,108386817,1837064.7,7753021,0.07153103315138408,18893,0.0001743108666065911,41,0.683
"Last To Take Hand Off Jet, Keeps It! - (2022-11-12)","Last To Take Hand Off Jet, Keeps It!",2022-11-12,2022-11-12 16:00:00,66,85381578,1293660.3,3231296,0.03784535347894367,103962,0.0012176162872042492,937,15.617
Giving iPhones Instead Of Candy on Halloween - (2022-11-02),Giving iPhones Instead Of Candy on Halloween,2022-11-02,2022-11-02 16:00:01,76,392547929,5165104.3,17157471,0.04370796463939566,70203,0.00017883930805300465,40,0.667
"$1 vs $1,000,000 Hotel Room! - (2022-10-22)","$1 vs $1,000,000 Hotel Room!",2022-10-22,2022-10-22 16:00:00,87,139563157,1604174.2,4737865,0.03394782048388315,107807,0.0007724603134335805,941,15.683
"The Rock Vs MrBeast For $100,000 - (2022-10-21)","The Rock Vs MrBeast For $100,000",2022-10-21,2022-10-21 15:00:06,88,206348394,2344868.1,15884391,0.07697850558507376,46931,0.00022743574151587532,55,0.917
"Survive 100 Days In Circle, Win $500,000 - (2022-09-24)","Survive 100 Days In Circle, Win $500,000",2022-09-24,2022-09-24 14:59:59,115,117655114,1023087.9,3660969,0.03111610601133751,88227,0.0007498781565924963,1077,17.95
I Hunted 100 People! - (2022-09-03),I Hunted 100 People!,2022-09-03,2022-09-03 14:59:59,136,70795854,520557.8,2552857,0.03605941387471645,65266,0.0009218901434538808,743,12.383
I Survived A Plane Crash - (2022-08-20),I Survived A Plane Crash,2022-08-20,2022-08-20 15:00:00,150,83723385,558155.9,2937576,0.03508668456250306,76821,0.0009175572631230809,494,8.233
"I Gave My 100,000,000th Subscriber An Island - (2022-08-04)","I Gave My 100,000,000th Subscriber An Island",2022-08-04,2022-08-04 14:59:59,166,106156225,639495.3,4705650,0.0443275936008463,233436,0.002198985504618311,931,15.517
"100 Girls Vs 100 Boys For $500,000 - (2022-07-23)","100 Girls Vs 100 Boys For $500,000",2022-07-23,2022-07-23 15:00:09,178,116129431,652412.5,3652957,0.03145591060374695,141395,0.001217563874914706,1013,16.883
I Didn’t Eat Food For 30 Days - (2022-07-02),I Didn’t Eat Food For 30 Days,2022-07-02,2022-07-02 15:00:02,199,66673797,335044.2,2954635,0.044314785312136944,104600,0.0015688322055514552,784,13.067
I Built Willy Wonka's Chocolate Factory! - (2022-06-04),I Built Willy Wonka's Chocolate Factory!,2022-06-04,2022-06-04 15:00:02,227,151771488,668596.9,5212953,0.034347380187772815,173405,0.0011425400270174593,1021,17.017
"$10,000 Every Day You Survive Prison - (2022-04-09)","$10,000 Every Day You Survive Prison",2022-04-09,2022-04-09 15:00:00,283,136673021,482943.5,4316812,0.031584960721692104,152776,0.00111782119749881,839,13.983
"Would You Swim With Sharks For $100,000? - (2022-03-19)","Would You Swim With Sharks For $100,000?",2022-03-19,2022-03-19 15:02:32,304,113485592,373307.9,3390157,0.029873016831951673,101777,0.0008968275021202692,541,9.017
World’s Most Dangerous Escape Room! - (2022-01-29),World’s Most Dangerous Escape Room!,2022-01-29,2022-01-29 16:00:01,353,165065095,467606.5,4556614,0.027604951852479773,143911,0.0008718439231504395,481,8.017
"Extreme $1,000,000 Hide And Seek - (2021-12-18)","Extreme $1,000,000 Hide And Seek",2021-12-18,2021-12-18 16:00:00,395,81575455,206520.1,3372007,0.04133604893775952,132451,0.0016236624116898889,729,12.15
"$1,000,000 Influencer Tournament! - (2021-12-16)","$1,000,000 Influencer Tournament!",2021-12-16,2021-12-16 16:00:00,397,64537225,162562.3,2916293,0.04518776566547446,90992,0.0014099149754269727,725,12.083
I Got Hunted By The Military - (2021-12-10),I Got Hunted By The Military,2021-12-10,2021-12-10 16:30:02,403,124148360,308060.4,3663499,0.02950904063493066,98154,0.0007906185792546917,662,11.033
"$456,000 Squid Game In Real Life! - (2021-11-24)","$456,000 Squid Game In Real Life!",2021-11-24,2021-11-24 16:00:01,419,342632790,817739.4,15248470,0.04450382580137762,614978,0.0017948603226211946,1542,25.7
I Cleaned The World’s Dirtiest Beach #TeamSeas - (2021-10-29),I Cleaned The World’s Dirtiest Beach #TeamSeas,2021-10-29,2021-10-29 14:59:43,445,82722269,185892.7,4983398,0.060242520668769374,179153,0.002165716706827759,295,4.917
"Last To Take Hand Off Lamborghini, Keeps It - (2021-10-23)","Last To Take Hand Off Lamborghini, Keeps It",2021-10-23,2021-10-23 15:00:01,451,124040409,275034.2,4010159,0.032329456443504635,131271,0.0010582922215291953,943,15.717
"First To Rob Bank Wins $100,000 - (2021-09-26)","First To Rob Bank Wins $100,000",2021-09-26,2021-09-26 15:00:06,478,109480875,229039.5,3347956,0.030580281715870464,124446,0.001136691682451387,482,8.033
"Extreme $500,000 Game Of Tag! - (2021-09-04)","Extreme $500,000 Game Of Tag!",2021-09-04,2021-09-04 15:00:07,500,104649137,209298.3,3657901,0.034953952845306314,102437,0.0009788613928082368,760,12.667
"Last To Leave Circle Wins $500,000 - (2021-08-31)","Last To Leave Circle Wins $500,000",2021-08-31,2021-08-31 15:01:03,504,250731467,497483.1,5381964,0.021465052090968703,115121,0.00045914061516658377,1166,19.433
I Got Hunted By The FBI - (2021-08-07),I Got Hunted By The FBI,2021-08-07,2021-08-07 18:00:03,528,134034151,253852.6,3563361,0.026585470743198874,94438,0.0007045816256186829,951,15.85
"If You Can Carry $1,000,000 You Keep It! - (2021-07-24)","If You Can Carry $1,000,000 You Keep It!",2021-07-24,2021-07-24 15:00:59,542,117737505,217227.9,2912672,0.0247386930783016,76823,0.0006524938676082867,645,10.75
"Would YOU Quit School For $100,000? - (2021-07-10)","Would YOU Quit School For $100,000?",2021-07-10,2021-07-10 15:00:09,556,103128157,185482.3,2827219,0.027414617716866596,83884,0.0008133957053067476,694,11.567
I Survived 50 Hours In A Maximum Security Prison - (2021-06-26),I Survived 50 Hours In A Maximum Security Prison,2021-06-26,2021-06-26 15:00:02,570,153320561,268983.4,3182136,0.020754789698427988,100461,0.0006552350144348872,754,12.567
"Hit The Target, Win $300,000 - (2021-06-12)","Hit The Target, Win $300,000",2021-06-12,2021-06-12 15:00:01,584,123309693,211146.7,3049397,0.024729580666460665,87013,0.0007056460679048159,904,15.067
Anything You Can Fit In The Triangle I’ll Pay For - (2021-06-01),Anything You Can Fit In The Triangle I’ll Pay For,2021-06-01,2021-06-01 15:00:02,595,118162283,198592.1,2786897,0.0235853347552535,87030,0.0007365294389242631,968,16.133
I Got Hunted By A Real Bounty Hunter - (2021-04-24),I Got Hunted By A Real Bounty Hunter,2021-04-24,2021-04-24 15:00:00,633,130595875,206312.6,3455627,0.02646046056202005,127028,0.0009726800329642877,861,14.35
"Extreme $100,000 Game of Tag! - (2021-04-17)","Extreme $100,000 Game of Tag!",2021-04-17,2021-04-17 15:00:00,640,141163065,220567.3,3015069,0.021358766898409296,120234,0.0008517383778823448,1014,16.9
"Would You Sit In Snakes For $10,000? - (2021-04-10)","Would You Sit In Snakes For $10,000?",2021-04-10,2021-04-10 16:00:07,647,192131515,296957.5,4403824,0.022920883125290507,141249,0.000735168303856866,849,14.15
"I Bought The World's Largest Mystery Box! ($500,000) - (2021-04-03)","I Bought The World's Largest Mystery Box! ($500,000)",2021-04-03,2021-04-03 15:00:01,654,162668799,248729.1,4122158,0.025340803063284435,173431,0.0010661602044532215,709,11.817
I Spent 50 Hours Buried Alive - (2021-03-27),I Spent 50 Hours Buried Alive,2021-03-27,2021-03-27 15:00:04,661,230320434,348442.4,6890927,0.029918869465138297,246336,0.001069536018675616,760,12.667
"Offering People $100,000 To Quit Their Job - (2021-03-13)","Offering People $100,000 To Quit Their Job",2021-03-13,2021-03-13 16:00:02,675,104410828,154682.7,3002904,0.028760465341774705,119072,0.0011404181183200654,627,10.45
I Sold My House For $1 - (2021-03-06),I Sold My House For $1,2021-03-06,2021-03-06 16:00:02,682,115645538,169568.2,3379880,0.029226203262593668,118531,0.0010249509150971306,560,9.333
"If You Press This, I’ll Pay... - (2021-02-13)","If You Press This, I’ll Pay...",2021-02-13,2021-02-13 16:00:01,703,49564429,70504.2,2921223,0.05893789273755176,152866,0.003084187654012921,665,11.083
"I Ate $100,000 Golden Ice Cream - (2021-01-22)","I Ate $100,000 Golden Ice Cream",2021-01-22,2021-01-22 16:00:03,725,160701451,221657.2,4586994,0.028543575502625672,171106,0.0010647445865314558,797,13.283
I Bought Everything In 5 Stores - (2021-01-09),I Bought Everything In 5 Stores,2021-01-09,2021-01-09 16:01:25,738,116407048,157733.1,4561760,0.03918800517989254,192117,0.0016503897599052593,854,14.233
"Youtube Rewind 2020, Thank God It's Over - (2021-01-01)","Youtube Rewind 2020, Thank God It's Over",2021-01-01,2021-01-01 16:00:03,746,65809810,88216.9,4969231,0.07550897047111974,290502,0.00441426589743991,391,6.517
