Title and Day Published,Title,Publish Date,Publish Time (EST),Days Since Published,Views,Views per Day,Likes,Like to View Ratio,Comments,Comment to View Ratio,Duration in Seconds,Duration in Minutes
Fun In COD. - Insane Reactions Lol - (2014-06-10),Fun In COD. - Insane Reactions Lol,2014-06-10,2014-06-10 14:01:43,3150,26311,8.4,841,0.03196381741476949,275,0.01045190224620881,229,3.817
Minecraft Build-off Fun!!!!! - (2014-06-09),Minecraft Build-off Fun!!!!!,2014-06-09,2014-06-09 07:00:07,3151,43221,13.7,1312,0.0303556141690382,187,0.004326600495129682,213,3.55
This Kid Should Quit COD.... - (2014-06-02),This Kid Should Quit COD....,2014-06-02,2014-06-02 16:37:07,3158,50543,16.0,1112,0.02200106839720634,174,0.003442613220426172,77,1.283
Computer vs Console My Perspective. - (2014-06-02),Computer vs Console My Perspective.,2014-06-02,2014-06-02 13:08:34,3158,59904,19.0,1553,0.025924813034188036,270,0.004507211538461538,205,3.417
5 Youtubers I Think Will Be Famous... - (2014-05-31),5 Youtubers I Think Will Be Famous...,2014-05-31,2014-05-31 16:06:55,3160,150267,47.6,4259,0.0283428830015905,745,0.004957841708425669,264,4.4
How Much Does PewDiePie Make????? 2016 - (2014-05-24),How Much Does PewDiePie Make????? 2016,2014-05-24,2014-05-24 14:33:12,3167,218463,69.0,4020,0.018401285343513547,346,0.00158379222110838,206,3.433
I Got Really Really Really Bored.... - (2014-05-24),I Got Really Really Really Bored....,2014-05-24,2014-05-24 11:37:13,3167,29484,9.3,950,0.03222086555419889,234,0.007936507936507936,52,0.867
How Much Money Does Penguinz0 Make????? 2016 - (2014-05-16),How Much Money Does Penguinz0 Make????? 2016,2014-05-16,2014-05-16 18:53:55,3175,65609,20.7,2555,0.03894282796567544,367,0.005593744760627353,175,2.917
How Much Money Does CaptainSparkles Make????? 2016 - (2014-05-15),How Much Money Does CaptainSparkles Make????? 2016,2014-05-15,2014-05-15 15:36:54,3176,315939,99.5,3940,0.012470761760972846,323,0.0010223492509630024,183,3.05
How Much Money Does Tobuscus Make????? - (2014-05-14),How Much Money Does Tobuscus Make?????,2014-05-14,2014-05-14 18:06:58,3177,36579,11.5,892,0.024385576423631046,198,0.005412941851882227,142,2.367
COD IS NOT DEAD - (2014-05-07),COD IS NOT DEAD,2014-05-07,2014-05-07 21:19:42,3184,44639,14.0,1626,0.03642554716727525,270,0.006048522592351979,202,3.367
Storm - (2014-04-30),Storm,2014-04-30,2014-04-30 15:31:15,3191,136350,42.7,4663,0.034198753208654196,676,0.004957829116244958,181,3.017
Hearthstone - All Beards Challenge! - (2014-04-23),Hearthstone - All Beards Challenge!,2014-04-23,2014-04-23 20:56:43,3198,39689,12.4,1054,0.026556476605608607,214,0.005391922195066643,1433,23.883
Youtube ad. - (2014-04-20),Youtube ad.,2014-04-20,2014-04-20 15:26:16,3201,275890,86.2,6473,0.023462249447243465,344,0.0012468737540324041,38,0.633
Impossible - (2014-04-19),Impossible,2014-04-19,2014-04-19 20:45:45,3202,47655,14.9,1782,0.037393767705382434,319,0.006693946070716609,233,3.883
Motivation - (2014-04-16),Motivation,2014-04-16,2014-04-16 20:22:40,3205,48997,15.3,2054,0.041920933934730696,242,0.004939077902728738,174,2.9
1k Subs - (2014-04-13),1k Subs,2014-04-13,2014-04-13 18:53:33,3208,16772478,5228.3,1255410,0.07484940507896329,92222,0.005498412339548157,195,3.25
Yup I is the best at the game. - (2014-04-05),Yup I is the best at the game.,2014-04-05,2014-04-05 08:00:05,3216,147330,45.8,3267,0.02217470983506414,359,0.002436706712821557,430,7.167
Should I join FaZe????? - (2014-04-04),Should I join FaZe?????,2014-04-04,2014-04-04 14:44:52,3217,474191,147.4,11233,0.023688766762760154,1438,0.0030325333040905457,210,3.5
"Youtube Networks Requirerments. (Machinima, TGN, 8byte....) - (2014-04-01)","Youtube Networks Requirerments. (Machinima, TGN, 8byte....)",2014-04-01,2014-04-01 11:37:55,3220,53119,16.5,845,0.01590767898492065,163,0.0030685818633633915,286,4.767
Two Years of Youtube. - (2014-03-31),Two Years of Youtube.,2014-03-31,2014-03-31 11:31:32,3221,235602,73.1,6310,0.026782455157426506,602,0.0025551565776181866,271,4.517
"How Much Money Does ""Element Animation"" Make????? - (2014-03-30)","How Much Money Does ""Element Animation"" Make?????",2014-03-30,2014-03-30 18:40:18,3222,98925,30.7,2082,0.021046247156937075,278,0.0028102097548647967,209,3.483
"How Much Money Does ""Skydoesminecraft"" Make???? - (2014-03-29)","How Much Money Does ""Skydoesminecraft"" Make????",2014-03-29,2014-03-29 20:52:06,3223,42124,13.1,1036,0.02459405564523787,319,0.007572880068369575,167,2.783
Should College Athletes Be Paid????? - (2014-03-28),Should College Athletes Be Paid?????,2014-03-28,2014-03-28 19:18:35,3224,48203,15.0,1295,0.026865547787482107,257,0.0053316183640022404,276,4.6
"""Beast"" Channel Trailer - (2014-03-28)","""Beast"" Channel Trailer",2014-03-28,2014-03-28 16:01:57,3224,40249,12.5,1232,0.030609456135556164,191,0.0047454595145221,121,2.017
What It Takes To Be A Full Time Youtuber... - (2014-03-27),What It Takes To Be A Full Time Youtuber...,2014-03-27,2014-03-27 14:00:05,3225,31291,9.7,1148,0.036687865520437186,354,0.01131315713783516,281,4.683
