Title and Day Published,Title,Publish Date,Publish Time (EST),Days Since Published,Views,Views per Day,Likes,Like to View Ratio,Comments,Comment to View Ratio,Duration in Seconds,Duration in Minutes
"If You Build It, I'll Pay For It! - (2022-12-31)","If You Build It, I'll Pay For It!",2022-12-31,2022-12-31 15:00:04,13,16334382,1256490.9,600304,0.03675,19721,0.00121,702,11.7
World's Hardest Challenge! - (2022-12-16),World's Hardest Challenge!,2022-12-16,2022-12-16 17:18:00,28,17555017,626964.9,539035,0.03071,22887,0.0013,870,14.5
100 Youtuber Minecraft Battle Royale! - (2022-10-28),100 Youtuber Minecraft Battle Royale!,2022-10-28,2022-10-28 16:00:09,77,17585998,228389.6,991036,0.05635,45782,0.0026,963,16.05
"Extreme $1,000,000 Challenge! - (2022-10-12)","Extreme $1,000,000 Challenge!",2022-10-12,2022-10-12 15:00:12,93,10093854,108536.1,394488,0.03908,11488,0.00114,643,10.717
Minecraft with Ultra Realistic Graphics! - (2022-09-16),Minecraft with Ultra Realistic Graphics!,2022-09-16,2022-09-16 14:00:37,119,15093481,126836.0,492524,0.03263,13000,0.00086,527,8.783
Extreme Squid Game Challenge! - (2022-08-26),Extreme Squid Game Challenge!,2022-08-26,2022-08-26 13:00:55,140,12761143,91151.0,495413,0.03882,17336,0.00136,530,8.833
World's Fastest Car! - (2022-07-09),World's Fastest Car!,2022-07-09,2022-07-09 11:00:01,188,32375955,172212.5,657077,0.0203,20576,0.00064,578,9.633
"100 Kills = $500,000 Challenge! - (2022-06-29)","100 Kills = $500,000 Challenge!",2022-06-29,2022-06-29 12:30:08,198,11278524,56962.2,389274,0.03451,16880,0.0015,533,8.883
1000 People Simulate Civilization! - (2022-06-07),1000 People Simulate Civilization!,2022-06-07,2022-06-07 13:00:26,220,18582927,84467.8,643647,0.03464,19658,0.00106,484,8.067
World's Largest Experiment! - (2022-05-22),World's Largest Experiment!,2022-05-22,2022-05-22 13:00:05,236,33512467,142002.0,668937,0.01996,20057,0.0006,629,10.483
"Insane $100,000 Challenge! - (2022-04-24)","Insane $100,000 Challenge!",2022-04-24,2022-04-24 12:00:22,264,20615685,78089.7,671383,0.03257,22354,0.00108,586,9.767
"$1 VS $29,000 House! - (2022-03-23)","$1 VS $29,000 House!",2022-03-23,2022-03-23 13:00:00,296,30341632,102505.5,909328,0.02997,30367,0.001,542,9.033
"1,000 Tanks Vs Titan Enderman! - (2022-03-05)","1,000 Tanks Vs Titan Enderman!",2022-03-05,2022-03-05 14:00:10,314,55263496,175998.4,1098847,0.01988,52985,0.00096,657,10.95
World's Largest Challenge! - (2022-01-28),World's Largest Challenge!,2022-01-28,2022-01-28 14:00:24,350,34636734,98962.1,889723,0.02569,25835,0.00075,586,9.767
10 vs 1000 Player Manhunt! - (2021-12-23),10 vs 1000 Player Manhunt!,2021-12-23,2021-12-23 14:01:08,386,26243221,67987.6,845266,0.03221,28301,0.00108,674,11.233
GTA Wanted Level 100! - (2021-11-27),GTA Wanted Level 100!,2021-11-27,2021-11-27 16:00:10,412,40849405,99149.0,896485,0.02195,20861,0.00051,481,8.017
"100,000 Player Building Challenge! - (2021-11-07)","100,000 Player Building Challenge!",2021-11-07,2021-11-07 14:00:12,432,36417277,84299.3,955732,0.02624,39013,0.00107,520,8.667
Blowing Up Earth! - (2021-10-21),Blowing Up Earth!,2021-10-21,2021-10-21 13:01:55,449,55570476,123765.0,1033111,0.01859,29126,0.00052,500,8.333
"$45,600 Squid Game Challenge! - (2021-10-14)","$45,600 Squid Game Challenge!",2021-10-14,2021-10-14 13:00:17,456,70646456,154926.4,1724634,0.02441,55932,0.00079,681,11.35
"First To Raid Island Wins $100,000! - (2021-10-05)","First To Raid Island Wins $100,000!",2021-10-05,2021-10-05 13:36:04,465,13526866,29090.0,509524,0.03767,17246,0.00127,496,8.267
Don't Open The Wrong Box! - (2021-09-29),Don't Open The Wrong Box!,2021-09-29,2021-09-29 13:15:31,471,33005705,70075.8,790511,0.02395,20916,0.00063,650,10.833
1000 vs 1000 Player War! - (2021-09-11),1000 vs 1000 Player War!,2021-09-11,2021-09-11 13:03:40,489,31468589,64352.9,959931,0.0305,87439,0.00278,485,8.083
"100 People Decide Who Wins $30,000! - (2021-09-01)","100 People Decide Who Wins $30,000!",2021-09-01,2021-09-01 13:00:28,499,29559766,59238.0,776054,0.02625,21234,0.00072,561,9.35
"$2 VS $16,000 Minecraft House! - (2021-08-25)","$2 VS $16,000 Minecraft House!",2021-08-25,2021-08-25 13:10:20,506,61330839,121207.2,1755693,0.02863,75114,0.00122,644,10.733
World's Most Overpowered Weapons! - (2021-08-11),World's Most Overpowered Weapons!,2021-08-11,2021-08-11 14:34:46,520,26697944,51342.2,671583,0.02515,34333,0.00129,594,9.9
$1000 For Every Kill! - (2021-07-25),$1000 For Every Kill!,2021-07-25,2021-07-25 16:21:05,537,19473778,36264.0,606939,0.03117,32338,0.00166,519,8.65
I Survived 100 Days Of Hardcore Minecraft! - (2021-07-22),I Survived 100 Days Of Hardcore Minecraft!,2021-07-22,2021-07-22 14:46:51,540,77961133,144372.5,1316046,0.01688,78920,0.00101,937,15.617
Walking Across The Entire Universe! - (2021-07-08),Walking Across The Entire Universe!,2021-07-08,2021-07-08 13:00:06,554,26722897,48236.3,735928,0.02754,29248,0.00109,625,10.417
1 vs 100 Player Manhunt! - (2021-06-30),1 vs 100 Player Manhunt!,2021-06-30,2021-06-30 14:25:11,562,61776052,109921.8,1110514,0.01798,37445,0.00061,763,12.717
World’s Largest Ramp! - (2021-06-11),World’s Largest Ramp!,2021-06-11,2021-06-11 14:27:22,581,51322264,88334.4,962269,0.01875,37492,0.00073,562,9.367
