Title and Day Published,Title,Publish Date,Publish Time (EST),Days Since Published,Views,Views per Day,Likes,Like to View Ratio,Comments,Comment to View Ratio,Duration in Seconds,Duration in Minutes
"$1 VS $29,000 House! - (2022-03-23)","$1 VS $29,000 House!",2022-03-23,2022-03-23 13:00:00,296,30340274,102500.9,909307,0.02997,30367,0.001,542,9.033
"1,000 Tanks Vs Titan Enderman! - (2022-03-05)","1,000 Tanks Vs Titan Enderman!",2022-03-05,2022-03-05 14:00:10,314,55260577,175989.1,1098819,0.01988,52985,0.00096,657,10.95
World's Largest Challenge! - (2022-01-28),World's Largest Challenge!,2022-01-28,2022-01-28 14:00:24,350,34635917,98959.8,889715,0.02569,25835,0.00075,586,9.767
10 vs 1000 Player Manhunt! - (2021-12-23),10 vs 1000 Player Manhunt!,2021-12-23,2021-12-23 14:01:08,386,26242307,67985.3,845248,0.03221,28301,0.00108,674,11.233
GTA Wanted Level 100! - (2021-11-27),GTA Wanted Level 100!,2021-11-27,2021-11-27 16:00:10,412,40847464,99144.3,896460,0.02195,20861,0.00051,481,8.017
"100,000 Player Building Challenge! - (2021-11-07)","100,000 Player Building Challenge!",2021-11-07,2021-11-07 14:00:12,432,36416159,84296.7,955716,0.02624,39013,0.00107,520,8.667
Blowing Up Earth! - (2021-10-21),Blowing Up Earth!,2021-10-21,2021-10-21 13:01:55,449,55567865,123759.2,1033079,0.01859,29125,0.00052,500,8.333
"$45,600 Squid Game Challenge! - (2021-10-14)","$45,600 Squid Game Challenge!",2021-10-14,2021-10-14 13:00:17,456,70645360,154924.0,1724633,0.02441,55932,0.00079,681,11.35
"First To Raid Island Wins $100,000! - (2021-10-05)","First To Raid Island Wins $100,000!",2021-10-05,2021-10-05 13:36:04,465,13526635,29089.5,509521,0.03767,17246,0.00127,496,8.267
Don't Open The Wrong Box! - (2021-09-29),Don't Open The Wrong Box!,2021-09-29,2021-09-29 13:15:31,471,33005053,70074.4,790506,0.02395,20916,0.00063,650,10.833
1000 vs 1000 Player War! - (2021-09-11),1000 vs 1000 Player War!,2021-09-11,2021-09-11 13:03:40,489,31467709,64351.1,959911,0.0305,87439,0.00278,485,8.083
"100 People Decide Who Wins $30,000! - (2021-09-01)","100 People Decide Who Wins $30,000!",2021-09-01,2021-09-01 13:00:28,499,29559212,59236.9,776043,0.02625,21234,0.00072,561,9.35
"$2 VS $16,000 Minecraft House! - (2021-08-25)","$2 VS $16,000 Minecraft House!",2021-08-25,2021-08-25 13:10:20,506,61329395,121204.3,1755666,0.02863,75114,0.00122,644,10.733
World's Most Overpowered Weapons! - (2021-08-11),World's Most Overpowered Weapons!,2021-08-11,2021-08-11 14:34:46,520,26697211,51340.8,671566,0.02515,34332,0.00129,594,9.9
$1000 For Every Kill! - (2021-07-25),$1000 For Every Kill!,2021-07-25,2021-07-25 16:21:05,537,19473617,36263.7,606937,0.03117,32338,0.00166,519,8.65
I Survived 100 Days Of Hardcore Minecraft! - (2021-07-22),I Survived 100 Days Of Hardcore Minecraft!,2021-07-22,2021-07-22 14:46:51,540,77958567,144367.7,1316017,0.01688,78919,0.00101,937,15.617
