Title and Day Published,Title,Publish Date,Publish Time (EST),Days Since Published,Views,Views per Day,Likes,Like to View Ratio,Comments,Comment to View Ratio,Duration in Seconds,Duration in Minutes
"Whatever You Buy, I'll Pay For! - (2020-11-02)","Whatever You Buy, I'll Pay For!",2020-11-02,2020-11-02 14:00:53,800,39785877,49732.3,904552,0.022735504862692858,28393,0.000713645196258964,601,10.016666666666667
"Among Us But PewDiePie Goes 90,000 IQ! - (2020-10-31)","Among Us But PewDiePie Goes 90,000 IQ!",2020-10-31,2020-10-31 14:04:13,802,49975029,62313.0,1091143,0.021833764218526015,38935,0.0007790890926746636,614,10.233333333333333
Breaking As Many Laws As Possible in 1 Hour! - (2020-10-28),Breaking As Many Laws As Possible in 1 Hour!,2020-10-28,2020-10-28 17:34:56,805,24520672,30460.5,611212,0.024926396796955647,27842,0.0011354501214322348,616,10.266666666666667
"Among Us But Every Winner Gets $10,000! - (2020-10-23)","Among Us But Every Winner Gets $10,000!",2020-10-23,2020-10-23 13:00:01,810,22152272,27348.5,684765,0.030911727699984903,25731,0.0011615512846718387,504,8.4
"I Made a $20,000 Among Us Challenge! - (2020-10-21)","I Made a $20,000 Among Us Challenge!",2020-10-21,2020-10-21 13:02:15,812,31294760,38540.3,778315,0.02487045754624736,29545,0.0009440877642135616,626,10.433333333333334
Win This Game & I'll Give You a Tesla! - (2020-10-18),Win This Game & I'll Give You a Tesla!,2020-10-18,2020-10-18 14:04:17,815,17189234,21091.1,535881,0.031175385709450464,30809,0.001792342811785563,657,10.95
Among Us With 100 Real Players! - (2020-10-16),Among Us With 100 Real Players!,2020-10-16,2020-10-16 13:36:36,817,61514434,75293.1,1256362,0.020423856943884097,46928,0.0007628778637547084,613,10.216666666666667
I Visited All 7 Wonders of The World! - (2020-10-11),I Visited All 7 Wonders of The World!,2020-10-11,2020-10-11 14:31:20,822,22227069,27040.2,672271,0.030245598283786316,658636,0.02963215707838042,606,10.1
"Among Us but LazarBeam Goes 4,000 IQ! - (2020-10-08)","Among Us but LazarBeam Goes 4,000 IQ!",2020-10-08,2020-10-08 13:43:36,825,47388297,57440.4,1128534,0.0238146139752606,49121,0.0010365639432031077,601,10.016666666666667
The Funniest Challenge in Watch Dogs: Legion! - (2020-10-06),The Funniest Challenge in Watch Dogs: Legion!,2020-10-06,2020-10-06 13:01:28,827,9773651,11818.2,335886,0.03436648188072195,17670,0.0018079221367736582,608,10.133333333333333
I Went on a 900 IQ Rampage in Among Us! - (2020-10-04),I Went on a 900 IQ Rampage in Among Us!,2020-10-04,2020-10-04 13:19:41,829,47347934,57114.5,1113910,0.023526052900217358,41954,0.0008860787885697399,607,10.116666666666667
The Best Rocket League Game Ever! - (2020-10-02),The Best Rocket League Game Ever!,2020-10-02,2020-10-02 13:56:05,831,39060143,47003.8,735302,0.01882486707741956,59179,0.0015150738183421397,602,10.033333333333333
I Made Minecraft Only 1 Block Wide! - (2020-09-30),I Made Minecraft Only 1 Block Wide!,2020-09-30,2020-09-30 14:01:50,833,48813352,58599.5,895457,0.018344509510430672,49234,0.0010086174782670118,633,10.55
Among Us But Dream Goes 900 IQ! - (2020-09-27),Among Us But Dream Goes 900 IQ!,2020-09-27,2020-09-27 12:25:45,836,67962466,81294.8,1409902,0.02074530373868423,42931,0.0006316869078882453,612,10.2
The Worst GTA 5 Graphics! - (2020-09-25),The Worst GTA 5 Graphics!,2020-09-25,2020-09-25 13:01:28,838,41799076,49879.6,937946,0.022439395550274844,89766,0.0021475594340889257,753,12.55
The Most Insane 900 IQ Among Us Outplay! - (2020-09-22),The Most Insane 900 IQ Among Us Outplay!,2020-09-22,2020-09-22 12:45:34,841,75622411,89919.6,1582911,0.02093177113858483,50644,0.0006696956541097321,609,10.15
Can You Stop The Train in GTA 5? - (2020-09-20),Can You Stop The Train in GTA 5?,2020-09-20,2020-09-20 12:38:53,843,61404589,72840.6,1456364,0.02371751075477437,1908566,0.03108181377128019,663,11.05
"Make This Jump and I'll Give you $10,000! - (2020-09-18)","Make This Jump and I'll Give you $10,000!",2020-09-18,2020-09-18 13:00:47,845,23170780,27421.0,658674,0.028426923910200692,24176,0.0010433830885278785,606,10.1
