Title and Day Published,Title,Publish Date,Publish Time (EST),Days Since Published,Views,Views per Day,Likes,Like to View Ratio,Comments,Comment to View Ratio,Duration in Seconds,Duration in Minutes
I Gave Away My Credit Card! - (2021-06-04),I Gave Away My Credit Card!,2021-06-04,2021-06-04 13:10:09,597,25510944,42731.9,751628,0.02946296303264983,28033,0.0010988617277353594,483,8.05
"10,000 Zombies vs Mutant Wither! - (2021-05-22)","10,000 Zombies vs Mutant Wither!",2021-05-22,2021-05-22 13:38:56,610,65129153,106769.1,1144543,0.01757343596960335,37774,0.0005799860471085814,520,8.667
"Mining 1,000,000 Blocks Alone! - (2021-05-12)","Mining 1,000,000 Blocks Alone!",2021-05-12,2021-05-12 13:18:01,620,52756115,85090.5,1264329,0.02396554408905963,40718,0.0007718157411704785,540,9.0
If You Build A Lamborghini I'll Pay For It! - (2021-04-26),If You Build A Lamborghini I'll Pay For It!,2021-04-26,2021-04-26 13:08:34,636,64229217,100989.3,1698337,0.026441813855523102,74029,0.0011525751590588439,624,10.4
"$10,000 For Every Diamond! - (2021-04-22)","$10,000 For Every Diamond!",2021-04-22,2021-04-22 13:00:13,640,57330682,89579.2,1166483,0.02034657463171291,28498,0.0004970811266469846,605,10.083
1000 People Build 10 Countries! - (2021-04-15),1000 People Build 10 Countries!,2021-04-15,2021-04-15 14:07:15,647,48712327,75289.5,1132930,0.023257562710974577,40407,0.0008295025610252616,599,9.983
World’s Largest Explosion! - (2021-04-07),World’s Largest Explosion!,2021-04-07,2021-04-07 13:45:24,655,114632907,175012.1,1591138,0.013880290063655107,76258,0.000665236553758512,512,8.533
Hide And Seek Across The Earth! - (2021-04-04),Hide And Seek Across The Earth!,2021-04-04,2021-04-04 13:14:54,658,64239368,97628.2,1398749,0.0217740155849603,66830,0.0010403277940094304,589,9.817
"Giving A Random Player $50,000 If We Win! - (2021-03-30)","Giving A Random Player $50,000 If We Win!",2021-03-30,2021-03-30 15:01:46,663,22144703,33400.8,746834,0.0337251757226096,40894,0.0018466718655021023,482,8.033
1000 People vs 1 Infected! - (2021-03-28),1000 People vs 1 Infected!,2021-03-28,2021-03-28 13:16:11,665,38615770,58068.8,1449913,0.037547173084985744,33920,0.0008783976080238721,546,9.1
"Donating $100,000 To Twitch Streamers! - (2021-03-25)","Donating $100,000 To Twitch Streamers!",2021-03-25,2021-03-25 14:48:36,668,50390666,75435.1,1477738,0.029325629472728144,46958,0.0009318789317053281,623,10.383
"Would You Risk $5,000 for $100,000? - (2021-03-16)","Would You Risk $5,000 for $100,000?",2021-03-16,2021-03-16 14:21:11,677,67001957,98968.9,1376417,0.02054293727569778,44456,0.0006635030078300548,629,10.483
"Donating $50,000 If You Beat Minecraft! - (2021-03-07)","Donating $50,000 If You Beat Minecraft!",2021-03-07,2021-03-07 16:23:48,686,40378596,58860.9,1048003,0.025954419019423063,36101,0.0008940627851448822,530,8.833
"I Hosted A $50,000 Talent Show! - (2021-02-28)","I Hosted A $50,000 Talent Show!",2021-02-28,2021-02-28 15:06:49,693,29441465,42484.1,846729,0.028759744122787367,37013,0.0012571724946431845,722,12.033
Minecraft But Everything is 10x Bigger! - (2021-02-24),Minecraft But Everything is 10x Bigger!,2021-02-24,2021-02-24 14:15:59,697,30076015,43150.7,696752,0.023166366953866726,31857,0.001059216122880641,541,9.017
1 vs 10 Hunters in GTA! - (2021-02-16),1 vs 10 Hunters in GTA!,2021-02-16,2021-02-16 14:03:45,705,61590270,87362.1,1118746,0.01816433017747771,34544,0.0005608678123995884,605,10.083
I Walked Across The Earth! - (2021-02-03),I Walked Across The Earth!,2021-02-03,2021-02-03 14:15:52,718,40566708,56499.6,1102157,0.027169002720161567,57499,0.0014173937900013973,638,10.633
1000 Zombies vs Mutant Enderman! - (2021-01-27),1000 Zombies vs Mutant Enderman!,2021-01-27,2021-01-27 14:00:23,725,79622559,109824.2,1455525,0.018280309227438923,50036,0.0006284148692081098,616,10.267
The Hardest Lava Escape! - (2021-01-23),The Hardest Lava Escape!,2021-01-23,2021-01-23 14:03:59,729,21515167,29513.3,747156,0.03472694402046705,29299,0.0013617835269417152,484,8.067
"I Hid $100,000 On The Dream SMP! - (2021-01-13)","I Hid $100,000 On The Dream SMP!",2021-01-13,2021-01-13 15:08:43,739,35386094,47883.8,1019832,0.028820134824713912,48101,0.0013593192851406545,616,10.267
"If You Build a House, I'll Pay For It! - (2021-01-02)","If You Build a House, I'll Pay For It!",2021-01-02,2021-01-02 14:07:38,750,90494374,120659.2,2222631,0.024560985415513235,81380,0.0008992824238996338,610,10.167
I Tried The First Ever Version Of Minecraft! - (2020-12-27),I Tried The First Ever Version Of Minecraft!,2020-12-27,2020-12-27 14:05:40,756,31641647,41854.0,812128,0.02566642627673585,38900,0.001229392389087711,594,9.9
"Bedwars, But With 100 Players! - (2020-12-24)","Bedwars, But With 100 Players!",2020-12-24,2020-12-24 16:02:02,759,42128481,55505.2,849270,0.020159046323080104,33034,0.0007841251147887341,583,9.717
"Minecraft, But It's Only One Block! - (2020-12-17)","Minecraft, But It's Only One Block!",2020-12-17,2020-12-17 15:14:17,766,91662175,119663.4,1058939,0.011552627896948768,34082,0.00037182185563456243,607,10.117
"Donating $50,000 To Streamers With 0 Viewers - (2020-12-13)","Donating $50,000 To Streamers With 0 Viewers",2020-12-13,2020-12-13 14:10:23,770,60435531,78487.7,2579548,0.04268263978684989,85446,0.0014138371680725366,603,10.05
I Modded Among Us With 100 Zombies! - (2020-12-11),I Modded Among Us With 100 Zombies!,2020-12-11,2020-12-11 14:23:18,772,33250875,43071.1,709066,0.02132473205592334,25707,0.0007731225118135989,527,8.783
"Minecraft, But With Only 1 Heart! - (2020-12-07)","Minecraft, But With Only 1 Heart!",2020-12-07,2020-12-07 14:01:20,776,27457514,35383.4,775911,0.02825860345550584,24889,0.0009064549689385572,606,10.1
"I Made a $100,000 Among Us Tournament! - (2020-12-04)","I Made a $100,000 Among Us Tournament!",2020-12-04,2020-12-04 15:41:15,779,56643721,72713.4,1252232,0.02210716347536561,47054,0.0008307010762940521,612,10.2
I Made 100 Players Escape An Impossible Maze! - (2020-12-02),I Made 100 Players Escape An Impossible Maze!,2020-12-02,2020-12-02 15:01:02,781,69432829,88902.5,1393964,0.02007643963347655,37455,0.0005394422284017838,616,10.267
I Won The Hardest Round Ever in Among US! - (2020-11-29),I Won The Hardest Round Ever in Among US!,2020-11-29,2020-11-29 16:19:06,784,22615395,28846.2,645462,0.02854082362921364,20688,0.0009147750901542953,570,9.5
"100 Players, But Lava Rises Every Minute! - (2020-11-27)","100 Players, But Lava Rises Every Minute!",2020-11-27,2020-11-27 16:10:15,786,63855704,81241.4,929022,0.014548770772302502,36787,0.000576095754891372,601,10.017
The Biggest Outplay Ever in 3D Among Us! - (2020-11-25),The Biggest Outplay Ever in 3D Among Us!,2020-11-25,2020-11-25 15:10:59,788,17217238,21849.3,503159,0.029224141526068236,18409,0.0010692191163298086,606,10.1
"Last To Leave Circle Wins $10,000! - (2020-11-21)","Last To Leave Circle Wins $10,000!",2020-11-21,2020-11-21 15:40:22,792,34161563,43133.3,807903,0.023649474118031425,28978,0.0008482632952128097,606,10.1
"Minecraft, But Every Minute There's Random Chaos! - (2020-11-19)","Minecraft, But Every Minute There's Random Chaos!",2020-11-19,2020-11-19 15:10:57,794,47101288,59321.5,782051,0.016603601158422673,29392,0.0006240169058646549,615,10.25
"I Made a $50,000 Player Building Competition! - (2020-11-17)","I Made a $50,000 Player Building Competition!",2020-11-17,2020-11-17 14:58:13,796,32019343,40225.3,827678,0.02584931239844615,39382,0.0012299440372652243,614,10.233
