Title and Day Published,Title,Publish Date,Publish Time (EST),Days Since Published,Views,Views per Day,Likes,Like to View Ratio,Comments,Comment to View Ratio,Duration in Seconds,Duration in Minutes
"If You Build It, I'll Pay For It! - (2022-12-31)","If You Build It, I'll Pay For It!",2022-12-31,2022-12-31 15:00:04,17,17209351,1012314.8,615389,0.03576,20234,0.00118,702,11.7
World's Hardest Challenge! - (2022-12-16),World's Hardest Challenge!,2022-12-16,2022-12-16 17:18:00,32,17812542,556641.9,541747,0.03041,22952,0.00129,870,14.5
100 Youtuber Minecraft Battle Royale! - (2022-10-28),100 Youtuber Minecraft Battle Royale!,2022-10-28,2022-10-28 16:00:09,81,17717184,218730.7,993989,0.0561,45806,0.00259,963,16.05
"Red vs Blue For $1,000,000 - (2022-10-12)","Red vs Blue For $1,000,000",2022-10-12,2022-10-12 15:00:12,97,10210040,105258.1,395995,0.03878,11501,0.00113,643,10.717
Minecraft with Ultra Realistic Graphics! - (2022-09-16),Minecraft with Ultra Realistic Graphics!,2022-09-16,2022-09-16 14:00:37,123,15432776,125469.7,497840,0.03226,13034,0.00084,527,8.783
Extreme Squid Game Challenge! - (2022-08-26),Extreme Squid Game Challenge!,2022-08-26,2022-08-26 13:00:55,144,12825959,89069.2,496364,0.0387,17309,0.00135,530,8.833
World's Fastest Car! - (2022-07-09),World's Fastest Car!,2022-07-09,2022-07-09 11:00:01,192,32544962,169505.0,658418,0.02023,20536,0.00063,578,9.633
"100 Kills = $500,000 Challenge! - (2022-06-29)","100 Kills = $500,000 Challenge!",2022-06-29,2022-06-29 12:30:08,202,11320770,56043.4,389688,0.03442,16864,0.00149,533,8.883
1000 People Simulate Civilization! - (2022-06-07),1000 People Simulate Civilization!,2022-06-07,2022-06-07 13:00:26,224,18666374,83332.0,644905,0.03455,19660,0.00105,484,8.067
World's Largest Experiment! - (2022-05-22),World's Largest Experiment!,2022-05-22,2022-05-22 13:00:05,240,33808446,140868.5,671439,0.01986,20082,0.00059,629,10.483
"Insane $100,000 Challenge! - (2022-04-24)","Insane $100,000 Challenge!",2022-04-24,2022-04-24 12:00:22,268,20678593,77158.9,672180,0.03251,22320,0.00108,586,9.767
"$1 VS $29,000 House! - (2022-03-23)","$1 VS $29,000 House!",2022-03-23,2022-03-23 13:00:00,300,30435859,101452.9,910575,0.02992,30366,0.001,542,9.033
"1,000 Tanks Vs Titan Enderman! - (2022-03-05)","1,000 Tanks Vs Titan Enderman!",2022-03-05,2022-03-05 14:00:10,318,55476267,174453.7,1100918,0.01984,53007,0.00096,657,10.95
World's Largest Challenge! - (2022-01-28),World's Largest Challenge!,2022-01-28,2022-01-28 14:00:24,354,34737022,98127.2,890734,0.02564,25834,0.00074,586,9.767
10 vs 1000 Player Manhunt! - (2021-12-23),10 vs 1000 Player Manhunt!,2021-12-23,2021-12-23 14:01:08,390,26313797,67471.3,846401,0.03217,28310,0.00108,674,11.233
GTA Wanted Level 100! - (2021-11-27),GTA Wanted Level 100!,2021-11-27,2021-11-27 16:00:10,416,41001360,98561.0,897990,0.0219,20828,0.00051,481,8.017
"100,000 Player Building Challenge! - (2021-11-07)","100,000 Player Building Challenge!",2021-11-07,2021-11-07 14:00:12,436,36492545,83698.5,956544,0.02621,39020,0.00107,520,8.667
Blowing Up Earth! - (2021-10-21),Blowing Up Earth!,2021-10-21,2021-10-21 13:01:55,453,55747437,123062.8,1034563,0.01856,29136,0.00052,500,8.333
"$45,600 Squid Game Challenge! - (2021-10-14)","$45,600 Squid Game Challenge!",2021-10-14,2021-10-14 13:00:17,460,70739228,153780.9,1725254,0.02439,55936,0.00079,681,11.35
"First To Raid Island Wins $100,000! - (2021-10-05)","First To Raid Island Wins $100,000!",2021-10-05,2021-10-05 13:36:04,469,13540611,28871.2,509677,0.03764,17241,0.00127,496,8.267
Don't Open The Wrong Box! - (2021-09-29),Don't Open The Wrong Box!,2021-09-29,2021-09-29 13:15:31,475,33061301,69602.7,791095,0.02393,20905,0.00063,650,10.833
1000 vs 1000 Player War! - (2021-09-11),1000 vs 1000 Player War!,2021-09-11,2021-09-11 13:03:40,493,31527786,63950.9,960731,0.03047,87453,0.00277,485,8.083
"100 People Decide Who Wins $30,000! - (2021-09-01)","100 People Decide Who Wins $30,000!",2021-09-01,2021-09-01 13:00:28,503,29596521,58840.0,776483,0.02624,21215,0.00072,561,9.35
"$2 VS $16,000 Minecraft House! - (2021-08-25)","$2 VS $16,000 Minecraft House!",2021-08-25,2021-08-25 13:10:20,510,61438079,120466.8,1757267,0.0286,75107,0.00122,644,10.733
World's Most Overpowered Weapons! - (2021-08-11),World's Most Overpowered Weapons!,2021-08-11,2021-08-11 14:34:46,524,26759971,51068.6,672217,0.02512,34342,0.00128,594,9.9
$1000 For Every Kill! - (2021-07-25),$1000 For Every Kill!,2021-07-25,2021-07-25 16:21:05,541,19488022,36022.2,607082,0.03115,32339,0.00166,519,8.65
