Title and Day Published,Title,Publish Date,Publish Time (EST),Days Since Published,Views,Views per Day,Likes,Like to View Ratio,Comments,Comment to View Ratio,Duration in Seconds,Duration in Minutes
"If You Build It, I'll Pay For It! - (2022-12-31)","If You Build It, I'll Pay For It!",2022-12-31,2022-12-31 15:00:04,16,16945756,1059109.8,610733,0.03604,20081,0.00119,702,11.7
World's Hardest Challenge! - (2022-12-16),World's Hardest Challenge!,2022-12-16,2022-12-16 17:18:00,31,17730508,571951.9,540855,0.0305,22964,0.0013,870,14.5
100 Youtuber Minecraft Battle Royale! - (2022-10-28),100 Youtuber Minecraft Battle Royale!,2022-10-28,2022-10-28 16:00:09,80,17674328,220929.1,992919,0.05618,45801,0.00259,963,16.05
"Red vs Blue For $1,000,000 - (2022-10-12)","Red vs Blue For $1,000,000",2022-10-12,2022-10-12 15:00:12,96,10169817,105935.6,395452,0.03888,11497,0.00113,643,10.717
Minecraft with Ultra Realistic Graphics! - (2022-09-16),Minecraft with Ultra Realistic Graphics!,2022-09-16,2022-09-16 14:00:37,122,15332613,125677.2,496234,0.03236,13029,0.00085,527,8.783
Extreme Squid Game Challenge! - (2022-08-26),Extreme Squid Game Challenge!,2022-08-26,2022-08-26 13:00:55,143,12804794,89544.0,496052,0.03874,17331,0.00135,530,8.833
World's Fastest Car! - (2022-07-09),World's Fastest Car!,2022-07-09,2022-07-09 11:00:01,191,32489815,170103.7,657961,0.02025,20543,0.00063,578,9.633
"100 Kills = $500,000 Challenge! - (2022-06-29)","100 Kills = $500,000 Challenge!",2022-06-29,2022-06-29 12:30:08,201,11305668,56247.1,389535,0.03445,16880,0.00149,533,8.883
1000 People Simulate Civilization! - (2022-06-07),1000 People Simulate Civilization!,2022-06-07,2022-06-07 13:00:26,223,18635576,83567.6,644446,0.03458,19659,0.00105,484,8.067
World's Largest Experiment! - (2022-05-22),World's Largest Experiment!,2022-05-22,2022-05-22 13:00:05,239,33718946,141083.5,670651,0.01989,20078,0.0006,629,10.483
"Insane $100,000 Challenge! - (2022-04-24)","Insane $100,000 Challenge!",2022-04-24,2022-04-24 12:00:22,267,20656413,77364.8,671907,0.03253,22344,0.00108,586,9.767
"$1 VS $29,000 House! - (2022-03-23)","$1 VS $29,000 House!",2022-03-23,2022-03-23 13:00:00,299,30406369,101693.5,910167,0.02993,30364,0.001,542,9.033
