Title and Day Published,Title,Publish Date,Publish Time (EST),Days Since Published,Views,Views per Day,Likes,Like to View Ratio,Comments,Comment to View Ratio,Duration in Seconds,Duration in Minutes
"If You Build It, I'll Pay For It! - (2022-12-31)","If You Build It, I'll Pay For It!",2022-12-31,2022-12-31 15:00:04,21,17913367,853017.5,626839,0.03499280732650651,20300,0.0011332319602451063,702,11.7
World's Hardest Challenge! - (2022-12-16),World's Hardest Challenge!,2022-12-16,2022-12-16 17:18:00,36,18003055,500084.9,543627,0.030196375004131245,22966,0.001275672378937908,870,14.5
100 Youtuber Minecraft Battle Royale! - (2022-10-28),100 Youtuber Minecraft Battle Royale!,2022-10-28,2022-10-28 16:00:09,85,17829203,209755.3,996658,0.05590031141605152,45836,0.0025708384160525854,963,16.05
"Red vs Blue For $1,000,000 - (2022-10-12)","Red vs Blue For $1,000,000",2022-10-12,2022-10-12 15:00:12,101,10297951,101959.9,397194,0.038570197119795965,11498,0.0011165327937567387,643,10.717
Minecraft with Ultra Realistic Graphics! - (2022-09-16),Minecraft with Ultra Realistic Graphics!,2022-09-16,2022-09-16 14:00:37,127,15643729,123179.0,501251,0.03204165707549651,13033,0.0008331133836440148,527,8.783
Extreme Squid Game Challenge! - (2022-08-26),Extreme Squid Game Challenge!,2022-08-26,2022-08-26 13:00:55,148,12878660,87018.0,497142,0.038601997412774314,17316,0.001344549821177048,530,8.833
World's Fastest Car! - (2022-07-09),World's Fastest Car!,2022-07-09,2022-07-09 11:00:01,196,32673236,166700.2,659372,0.020180798743044612,20491,0.0006271493891820204,578,9.633
"100 Kills = $500,000 Challenge! - (2022-06-29)","100 Kills = $500,000 Challenge!",2022-06-29,2022-06-29 12:30:08,206,11355334,55123.0,390008,0.03434579731428419,16867,0.0014853812314107185,533,8.883
1000 People Simulate Civilization! - (2022-06-07),1000 People Simulate Civilization!,2022-06-07,2022-06-07 13:00:26,228,18723184,82119.2,645710,0.034487189785668934,19622,0.0010480055101739106,484,8.067
World's Largest Experiment! - (2022-05-22),World's Largest Experiment!,2022-05-22,2022-05-22 13:00:05,244,33985613,139285.3,672992,0.019802261621704453,20086,0.0005910147920533315,629,10.483
