Title and Day Published,Title,Publish Date,Publish Time (EST),Days Since Published,Views,Views per Day,Likes,Like to View Ratio,Comments,Comment to View Ratio,Duration in Seconds,Duration in Minutes
"If You Build It, I'll Pay For It! - (2022-12-31)","If You Build It, I'll Pay For It!",2022-12-31,2022-12-31 15:00:04,20,17676279,883814.0,623184,0.03525538378297831,20153,0.0011401155186563869,702,11.7
World's Hardest Challenge! - (2022-12-16),World's Hardest Challenge!,2022-12-16,2022-12-16 17:18:00,35,17941906,512625.9,543055,0.030267408601962354,22928,0.0012779021359269188,870,14.5
100 Youtuber Minecraft Battle Royale! - (2022-10-28),100 Youtuber Minecraft Battle Royale!,2022-10-28,2022-10-28 16:00:09,84,17794398,211838.1,995866,0.055965141388879806,45831,0.0025755858669677953,963,16.05
"Red vs Blue For $1,000,000 - (2022-10-12)","Red vs Blue For $1,000,000",2022-10-12,2022-10-12 15:00:12,100,10273175,102731.8,396860,0.038630705697118954,11492,0.0011186415105359346,643,10.717
Minecraft with Ultra Realistic Graphics! - (2022-09-16),Minecraft with Ultra Realistic Graphics!,2022-09-16,2022-09-16 14:00:37,126,15581380,123661.7,500259,0.032106206253874815,13031,0.0008363187342841263,527,8.783
Extreme Squid Game Challenge! - (2022-08-26),Extreme Squid Game Challenge!,2022-08-26,2022-08-26 13:00:55,147,12861491,87493.1,496891,0.038634012184123906,17314,0.0013461891782220272,530,8.833
World's Fastest Car! - (2022-07-09),World's Fastest Car!,2022-07-09,2022-07-09 11:00:01,195,32627696,167321.5,659038,0.020198729324926896,20494,0.0006281166773161059,578,9.633
"100 Kills = $500,000 Challenge! - (2022-06-29)","100 Kills = $500,000 Challenge!",2022-06-29,2022-06-29 12:30:08,205,11344186,55337.5,389888,0.034368971030623086,16867,0.0014868409245052928,533,8.883
1000 People Simulate Civilization! - (2022-06-07),1000 People Simulate Civilization!,2022-06-07,2022-06-07 13:00:26,227,18707497,82411.9,645506,0.034505203983194545,19623,0.001048937760086237,484,8.067
World's Largest Experiment! - (2022-05-22),World's Largest Experiment!,2022-05-22,2022-05-22 13:00:05,243,33931011,139633.8,672550,0.01982110111602628,20086,0.0005919658568381591,629,10.483
"Insane $100,000 Challenge! - (2022-04-24)","Insane $100,000 Challenge!",2022-04-24,2022-04-24 12:00:22,271,20713499,76433.6,672557,0.03246950213481556,22311,0.0010771236670347197,586,9.767
"$1 VS $29,000 House! - (2022-03-23)","$1 VS $29,000 House!",2022-03-23,2022-03-23 13:00:00,303,30484665,100609.5,911190,0.029890110322681913,30332,0.0009949920722435361,542,9.033
"1,000 Tanks Vs Titan Enderman! - (2022-03-05)","1,000 Tanks Vs Titan Enderman!",2022-03-05,2022-03-05 14:00:10,321,55582049,173152.8,1101998,0.019826509094689908,52995,0.0009534553143227951,657,10.95
World's Largest Challenge! - (2022-01-28),World's Largest Challenge!,2022-01-28,2022-01-28 14:00:24,357,34781155,97426.2,891178,0.025622438357783116,25829,0.0007426147866567398,586,9.767
10 vs 1000 Player Manhunt! - (2021-12-23),10 vs 1000 Player Manhunt!,2021-12-23,2021-12-23 14:01:08,393,26353919,67058.3,846971,0.032138332063629704,28310,0.0010742235338888307,674,11.233
GTA Wanted Level 100! - (2021-11-27),GTA Wanted Level 100!,2021-11-27,2021-11-27 16:00:10,419,41073536,98027.5,898677,0.021879708627959377,20807,0.0005065792241505577,481,8.017
"100,000 Player Building Challenge! - (2021-11-07)","100,000 Player Building Challenge!",2021-11-07,2021-11-07 14:00:12,439,36529488,83210.7,956952,0.026196698951816682,39014,0.0010680138741610613,520,8.667
Blowing Up Earth! - (2021-10-21),Blowing Up Earth!,2021-10-21,2021-10-21 13:01:55,456,55821304,122415.1,1035224,0.018545320976378482,29117,0.0005216108889179658,500,8.333
"$45,600 Squid Game Challenge! - (2021-10-14)","$45,600 Squid Game Challenge!",2021-10-14,2021-10-14 13:00:17,463,70786213,152886.0,1725638,0.02437816527916248,55928,0.0007900973597782381,681,11.35
"First To Raid Island Wins $100,000! - (2021-10-05)","First To Raid Island Wins $100,000!",2021-10-05,2021-10-05 13:36:04,472,13548286,28704.0,509756,0.0376251283741722,17223,0.001271230914375442,496,8.267
Don't Open The Wrong Box! - (2021-09-29),Don't Open The Wrong Box!,2021-09-29,2021-09-29 13:15:31,478,33092012,69230.2,791434,0.02391616442058585,20916,0.0006320558568635838,650,10.833
1000 vs 1000 Player War! - (2021-09-11),1000 vs 1000 Player War!,2021-09-11,2021-09-11 13:03:40,496,31556351,63621.7,961110,0.030456943516694944,87400,0.0027696484932621013,485,8.083
"100 People Decide Who Wins $30,000! - (2021-09-01)","100 People Decide Who Wins $30,000!",2021-09-01,2021-09-01 13:00:28,506,29614183,58526.1,776722,0.026228040800585314,21208,0.0007161433425328668,561,9.35
"$2 VS $16,000 Minecraft House! - (2021-08-25)","$2 VS $16,000 Minecraft House!",2021-08-25,2021-08-25 13:10:20,513,61486601,119856.9,1758019,0.02859190411257243,75108,0.0012215344282895065,644,10.733
World's Most Overpowered Weapons! - (2021-08-11),World's Most Overpowered Weapons!,2021-08-11,2021-08-11 14:34:46,527,26794514,50843.5,672584,0.025101556236474375,34344,0.0012817549144574893,594,9.9
$1000 For Every Kill! - (2021-07-25),$1000 For Every Kill!,2021-07-25,2021-07-25 16:21:05,544,19494514,35835.5,607154,0.03114486465269152,32329,0.0016583639889663317,519,8.65
I Survived 100 Days Of Hardcore Minecraft! - (2021-07-22),I Survived 100 Days Of Hardcore Minecraft!,2021-07-22,2021-07-22 14:46:51,547,78265498,143081.3,1318587,0.016847615279979435,78930,0.0010084903567597564,937,15.617
Walking Across The Entire Universe! - (2021-07-08),Walking Across The Entire Universe!,2021-07-08,2021-07-08 13:00:06,561,26777842,47732.3,736609,0.027508153943099672,29242,0.0010920222772245799,625,10.417
1 vs 100 Player Manhunt! - (2021-06-30),1 vs 100 Player Manhunt!,2021-06-30,2021-06-30 14:25:11,569,61992769,108950.4,1112189,0.017940624655756222,37454,0.0006041672376337956,763,12.717
World’s Largest Ramp! - (2021-06-11),World’s Largest Ramp!,2021-06-11,2021-06-11 14:27:22,588,51457845,87513.3,963428,0.018722665125210744,37485,0.0007284603542958318,562,9.367
I Gave Away My Credit Card! - (2021-06-04),I Gave Away My Credit Card!,2021-06-04,2021-06-04 13:10:09,595,25455523,42782.4,751503,0.029522198385002738,28169,0.001106596788445478,483,8.05
"10,000 Zombies vs Mutant Wither! - (2021-05-22)","10,000 Zombies vs Mutant Wither!",2021-05-22,2021-05-22 13:38:56,608,65082735,107044.0,1144131,0.01757963920846289,37778,0.000580461162242183,520,8.667
"Mining 1,000,000 Blocks Alone! - (2021-05-12)","Mining 1,000,000 Blocks Alone!",2021-05-12,2021-05-12 13:18:01,618,52699885,85274.9,1263074,0.023967300877411783,40770,0.0007736259766031747,540,9.0
If You Build A Lamborghini I'll Pay For It! - (2021-04-26),If You Build A Lamborghini I'll Pay For It!,2021-04-26,2021-04-26 13:08:34,634,64195171,101254.2,1697987,0.026450385185514968,74042,0.0011533889363734228,624,10.4
"$10,000 For Every Diamond! - (2021-04-22)","$10,000 For Every Diamond!",2021-04-22,2021-04-22 13:00:13,638,57298299,89809.2,1166093,0.02035126732121664,28498,0.0004973620595613144,605,10.083
1000 People Build 10 Countries! - (2021-04-15),1000 People Build 10 Countries!,2021-04-15,2021-04-15 14:07:15,645,48684590,75480.0,1132648,0.02326502082075663,40416,0.0008301600157257153,599,9.983
World’s Largest Explosion! - (2021-04-07),World’s Largest Explosion!,2021-04-07,2021-04-07 13:45:24,653,114174667,174846.4,1590138,0.013927240094337214,76417,0.0006692990836574982,512,8.533
Hide And Seek Across The Earth! - (2021-04-04),Hide And Seek Across The Earth!,2021-04-04,2021-04-04 13:14:54,656,64190099,97850.8,1398218,0.02178245588934206,66823,0.001041017244731154,589,9.817
"Giving A Random Player $50,000 If We Win! - (2021-03-30)","Giving A Random Player $50,000 If We Win!",2021-03-30,2021-03-30 15:01:46,661,22133015,33484.1,746674,0.03373575628986832,40892,0.0018475566930217144,482,8.033
1000 People vs 1 Infected! - (2021-03-28),1000 People vs 1 Infected!,2021-03-28,2021-03-28 13:16:11,663,38596464,58214.9,1449616,0.03755825922291742,33926,0.0008789924382710292,546,9.1
"Donating $100,000 To Twitch Streamers! - (2021-03-25)","Donating $100,000 To Twitch Streamers!",2021-03-25,2021-03-25 14:48:36,666,50368718,75628.7,1477427,0.02933223355019677,46970,0.0009325232379351009,623,10.383
"Would You Risk $5,000 for $100,000? - (2021-03-16)","Would You Risk $5,000 for $100,000?",2021-03-16,2021-03-16 14:21:11,675,66952695,99189.2,1375731,0.020547806178675854,44454,0.000663961323737603,629,10.483
"Donating $50,000 If You Beat Minecraft! - (2021-03-07)","Donating $50,000 If You Beat Minecraft!",2021-03-07,2021-03-07 16:23:48,684,40337558,58973.0,1047491,0.02596813123888164,36097,0.0008948732097267762,530,8.833
"I Hosted A $50,000 Talent Show! - (2021-02-28)","I Hosted A $50,000 Talent Show!",2021-02-28,2021-02-28 15:06:49,691,29430308,42590.9,846580,0.02876558410465837,37007,0.0012574452159997782,722,12.033
Minecraft But Everything is 10x Bigger! - (2021-02-24),Minecraft But Everything is 10x Bigger!,2021-02-24,2021-02-24 14:15:59,695,30022293,43197.5,696563,0.023201525612983658,31867,0.0010614445738704901,541,9.017
1 vs 10 Hunters in GTA! - (2021-02-16),1 vs 10 Hunters in GTA!,2021-02-16,2021-02-16 14:03:45,703,61556937,87563.2,1118487,0.01816995865145142,35240,0.0005724781270387122,605,10.083
I Walked Across The Earth! - (2021-02-03),I Walked Across The Earth!,2021-02-03,2021-02-03 14:15:52,716,40551082,56635.6,1101977,0.027175033208731644,57508,0.001418161912424433,638,10.633
1000 Zombies vs Mutant Enderman! - (2021-01-27),1000 Zombies vs Mutant Enderman!,2021-01-27,2021-01-27 14:00:23,723,79574151,110061.1,1455112,0.018286239711184604,50035,0.0006287845911167811,616,10.267
The Hardest Lava Escape! - (2021-01-23),The Hardest Lava Escape!,2021-01-23,2021-01-23 14:03:59,727,21506162,29582.1,747024,0.03473534701356756,29297,0.0013622607325286585,484,8.067
"I Hid $100,000 On The Dream SMP! - (2021-01-13)","I Hid $100,000 On The Dream SMP!",2021-01-13,2021-01-13 15:08:43,737,35378561,48003.5,1019722,0.028823162140483895,48181,0.001361869975435123,616,10.267
"If You Build a House, I'll Pay For It! - (2021-01-02)","If You Build a House, I'll Pay For It!",2021-01-02,2021-01-02 14:07:38,748,90413172,120873.2,2221797,0.024573819841206324,82901,0.0009169128586706371,610,10.167
I Tried The First Ever Version Of Minecraft! - (2020-12-27),I Tried The First Ever Version Of Minecraft!,2020-12-27,2020-12-27 14:05:40,754,31619686,41935.9,811886,0.025676599065531516,38899,0.0012302146200945828,594,9.9
"Bedwars, But With 100 Players! - (2020-12-24)","Bedwars, But With 100 Players!",2020-12-24,2020-12-24 16:02:02,757,42111550,55629.5,849033,0.020161523382539945,33197,0.0007883110453070476,583,9.717
"Minecraft, But It's Only One Block! - (2020-12-17)","Minecraft, But It's Only One Block!",2020-12-17,2020-12-17 15:14:17,764,91479929,119738.1,1058166,0.01156719306155124,34078,0.00037251887241845146,607,10.117
"Donating $50,000 To Streamers With 0 Viewers - (2020-12-13)","Donating $50,000 To Streamers With 0 Viewers",2020-12-13,2020-12-13 14:10:23,768,60418923,78670.5,2579227,0.04268905951865445,85625,0.001417188452697179,603,10.05
I Modded Among Us With 100 Zombies! - (2020-12-11),I Modded Among Us With 100 Zombies!,2020-12-11,2020-12-11 14:23:18,770,33217226,43139.3,708848,0.02133977111755208,25704,0.000773815369170201,527,8.783
"Minecraft, But With Only 1 Heart! - (2020-12-07)","Minecraft, But With Only 1 Heart!",2020-12-07,2020-12-07 14:01:20,774,27441427,35454.0,775729,0.02826853720107194,24889,0.0009069863604396375,606,10.1
